# vi: sw=20 ts=20
X:$0,0,24,S	24-bit servo cycle counter
L:$2449	CS 5 Z-axis target position (engineering units)
L:$2541	CS 6 A-axis target position (engineering units)
Y:$253F,20,1	CS 6 Amp-fault-error bit (OR of motors)
L:$2542	CS 6 B-axis target position (engineering units)
L:$2543	CS 6 C-axis target position (engineering units)
Y:$253F,21,1	CS 6 Circle-radius-error bit
X:$2540,0,4	CS 6 Continuous motion request
Y:$253F,19,1	CS 6 Fatal-following-error bit (OR)
X:$2500,0,24,S	CS 6 Host commanded time base (I10 units)
Y:$253F,17,1	CS 6 In-position bit (AND of motors)
X:$2515,0,24,S	CS 6 Isx11 timer (for synchronous assignment)
Y:$2515,0,24,S	CS 6 Isx12 timer (for synchronous assignment)
X:$2502,0,24,S	CS 6 Present time base (I10 units)
X:$2540,0,1	CS 6 Program-running bit
Y:$253F,22,1	CS 6 Run-time-error bit
L:$2544	CS 6 U-axis target position (engineering units)
L:$2545	CS 6 V-axis target position (engineering units)
L:$2546	CS 6 W-axis target position (engineering units)
Y:$253F,18,1	CS 6 Warning-following-error bit (OR)
L:$2547	CS 6 X-axis target position (engineering units)
L:$2548	CS 6 Y-axis target position (engineering units)
L:$2549	CS 6 Z-axis target position (engineering units)
L:$2641	CS 7 A-axis target position (engineering units)
Y:$263F,20,1	CS 7 Amp-fault-error bit (OR of motors)
L:$2642	CS 7 B-axis target position (engineering units)
L:$2643	CS 7 C-axis target position (engineering units)
Y:$263F,21,1	CS 7 Circle-radius-error bit
X:$2640,0,4	CS 7 Continuous motion request
Y:$263F,19,1	CS 7 Fatal-following-error bit (OR)
X:$2600,0,24,S	CS 7 Host commanded time base (I10 units)
Y:$263F,17,1	CS 7 In-position bit (AND of motors)
X:$2615,0,24,S	CS 7 Isx11 timer (for synchronous assignment)
Y:$2615,0,24,S	CS 7 Isx12 timer (for synchronous assignment)
X:$2602,0,24,S	CS 7 Present time base (I10 units)
X:$2640,0,1	CS 7 Program-running bit
Y:$263F,22,1	CS 7 Run-time-error bit
L:$2644	CS 7 U-axis target position (engineering units)
L:$2645	CS 7 V-axis target position (engineering units)
L:$2646	CS 7 W-axis target position (engineering units)
Y:$263F,18,1	CS 7 Warning-following-error bit (OR)
L:$2647	CS 7 X-axis target position (engineering units)
L:$2648	CS 7 Y-axis target position (engineering units)
L:$2649	CS 7 Z-axis target position (engineering units)
L:$2741	CS 8 A-axis target position (engineering units)
Y:$273F,20,1	CS 8 Amp-fault-error bit (OR of motors)
L:$2742	CS 8 B-axis target position (engineering units)
L:$2743	CS 8 C-axis target position (engineering units)
Y:$273F,21,1	CS 8 Circle-radius-error bit
X:$2740,0,4	CS 8 Continuous motion request
Y:$273F,19,1	CS 8 Fatal-following-error bit (OR)
X:$2700,0,24,S	CS 8 Host commanded time base (I10 units)
Y:$273F,17,1	CS 8 In-position bit (AND of motors)
X:$2715,0,24,S	CS 8 Isx11 timer (for synchronous assignment)
Y:$2715,0,24,S	CS 8 Isx12 timer (for synchronous assignment)
X:$2702,0,24,S	CS 8 Present time base (I10 units)
X:$2740,0,1	CS 8 Program-running bit
Y:$273F,22,1	CS 8 Run-time-error bit
L:$2744	CS 8 U-axis target position (engineering units)
L:$2745	CS 8 V-axis target position (engineering units)
L:$2746	CS 8 W-axis target position (engineering units)
Y:$273F,18,1	CS 8 Warning-following-error bit (OR)
L:$2747	CS 8 X-axis target position (engineering units)
L:$2748	CS 8 Y-axis target position (engineering units)
L:$2749	CS 8 Z-axis target position (engineering units)
L:$2841	CS 9 A-axis target position (engineering units)
Y:$283F,20,1	CS 9 Amp-fault-error bit (OR of motors)
L:$2842	CS 9 B-axis target position (engineering units)
L:$2843	CS 9 C-axis target position (engineering units)
Y:$283F,21,1	CS 9 Circle-radius-error bit
X:$2840,0,4	CS 9 Continuous motion request
Y:$283F,19,1	CS 9 Fatal-following-error bit (OR)
X:$2800,0,24,S	CS 9 Host commanded time base (I10 units)
Y:$283F,17,1	CS 9 In-position bit (AND of motors)
X:$2815,0,24,S	CS 9 Isx11 timer (for synchronous assignment)
Y:$2815,0,24,S	CS 9 Isx12 timer (for synchronous assignment)
X:$2802,0,24,S	CS 9 Present time base (I10 units)
X:$2840,0,1	CS 9 Program-running bit
Y:$283F,22,1	CS 9 Run-time-error bit
L:$2844	CS 9 U-axis target position (engineering units)
L:$2845	CS 9 V-axis target position (engineering units)
L:$2846	CS 9 W-axis target position (engineering units)
Y:$283F,18,1	CS 9 Warning-following-error bit (OR)
L:$2847	CS 9 X-axis target position (engineering units)
L:$2848	CS 9 Y-axis target position (engineering units)
L:$2849	CS 9 Z-axis target position (engineering units)
Y:$78402,0	DAT0 Line; J2 Pin 3
Y:$78402,0,8,U	DAT0-7 Lines treated as a byte
Y:$78402,1	DAT1 Line; J2 Pin 5
Y:$78402,2	DAT2 Line; J2 Pin 7
Y:$78402,3	DAT3 Line; J2 Pin 9
Y:$78402,4	DAT4 Line; J2 Pin 11
Y:$78402,5	DAT5 Line; J2 Pin 13
Y:$78402,6	DAT6 Line; J2 Pin 15
Y:$78402,7	DAT7 Line; J2 Pin 17
Y:$3401,12,12,U	Demuxed high ADC register from I5061
Y:$3403,12,12,U	Demuxed high ADC register from I5062
Y:$3405,12,12,U	Demuxed high ADC register from I5063
Y:$3407,12,12,U	Demuxed high ADC register from I5064
Y:$3409,12,12,U	Demuxed high ADC register from I5065
Y:$340B,12,12,U	Demuxed high ADC register from I5066
Y:$340D,12,12,U	Demuxed high ADC register from I5067
Y:$340F,12,12,U	Demuxed high ADC register from I5068
Y:$3411,12,12,U	Demuxed high ADC register from I5069
Y:$3413,12,12,U	Demuxed high ADC register from I5070
Y:$3415,12,12,U	Demuxed high ADC register from I5071
Y:$3417,12,12,U	Demuxed high ADC register from I5072
Y:$3419,12,12,U	Demuxed high ADC register from I5073
Y:$341B,12,12,U	Demuxed high ADC register from I5074
Y:$341D,12,12,U	Demuxed high ADC register from I5075
Y:$341F,12,12,U	Demuxed high ADC register from I5076
Y:$3400,12,12,U	Demuxed low ADC register from I5061
Y:$3402,12,12,U	Demuxed low ADC register from I5062
Y:$3404,12,12,U	Demuxed low ADC register from I5063
Y:$3406,12,12,U	Demuxed low ADC register from I5064
Y:$3408,12,12,U	Demuxed low ADC register from I5065
Y:$340A,12,12,U	Demuxed low ADC register from I5066
Y:$340C,12,12,U	Demuxed low ADC register from I5067
Y:$340E,12,12,U	Demuxed low ADC register from I5068
Y:$3410,12,12,U	Demuxed low ADC register from I5069
Y:$3412,12,12,U	Demuxed low ADC register from I5070
Y:$3414,12,12,U	Demuxed low ADC register from I5071
Y:$3416,12,12,U	Demuxed low ADC register from I5072
Y:$3418,12,12,U	Demuxed low ADC register from I5073
Y:$341A,12,12,U	Demuxed low ADC register from I5074
Y:$341C,12,12,U	Demuxed low ADC register from I5075
Y:$341E,12,12,U	Demuxed low ADC register from I5076
X:$78402,0,8	Direction control for DAT0 to DAT7
X:$78400,8,8	Direction control for SEL0 to SEL7
X:$78001,0,24,S	ENC1 24-bit counter position
X:$78201,0,24,S	ENC1 24-bit counter position
X:$79201,0,24,S	ENC1 24-bit counter position
X:$7A201,0,24,S	ENC1 24-bit counter position
X:$78000,11	ENC1 capture flag
X:$78200,11	ENC1 capture flag
X:$79200,11	ENC1 capture flag
X:$7A200,11	ENC1 capture flag
X:$78003,0,24,S	ENC1 captured position
X:$78203,0,24,S	ENC1 captured position
X:$79203,0,24,S	ENC1 captured position
X:$7A203,0,24,S	ENC1 captured position
Y:$78007,0,24,S	ENC1 compare A position
Y:$78207,0,24,S	ENC1 compare A position
Y:$79207,0,24,S	ENC1 compare A position
Y:$7A207,0,24,S	ENC1 compare A position
X:$78006,0,24,S	ENC1 compare autoincrement value
X:$78206,0,24,S	ENC1 compare autoincrement value
X:$79206,0,24,S	ENC1 compare autoincrement value
X:$7A206,0,24,S	ENC1 compare autoincrement value
X:$78007,0,24,S	ENC1 compare B position
X:$78207,0,24,S	ENC1 compare B position
X:$79207,0,24,S	ENC1 compare B position
X:$7A207,0,24,S	ENC1 compare B position
X:$78005,12	ENC1 compare initial state
X:$78205,12	ENC1 compare initial state
X:$79205,12	ENC1 compare initial state
X:$7A205,12	ENC1 compare initial state
X:$78005,11	ENC1 compare initial state write enable
X:$78205,11	ENC1 compare initial state write enable
X:$79205,11	ENC1 compare initial state write enable
X:$7A205,11	ENC1 compare initial state write enable
X:$78200,9	ENC1 compare output value
X:$79200,9	ENC1 compare output value
X:$7A200,9	ENC1 compare output value
X:$78000,8	ENC1 count error flag
X:$78200,8	ENC1 count error flag
X:$79200,8	ENC1 count error flag
X:$7A200,8	ENC1 count error flag
X:$78009,0,24,S	ENC2 24-bit counter position
X:$78209,0,24,S	ENC2 24-bit counter position
X:$79209,0,24,S	ENC2 24-bit counter position
X:$7A209,0,24,S	ENC2 24-bit counter position
X:$78008,11	ENC2 capture flag
X:$78208,11	ENC2 capture flag
X:$79208,11	ENC2 capture flag
X:$7A208,11	ENC2 capture flag
X:$7800B,0,24,S	ENC2 captured position
X:$7820B,0,24,S	ENC2 captured position
X:$7920B,0,24,S	ENC2 captured position
X:$7A20B,0,24,S	ENC2 captured position
Y:$7800F,0,24,S	ENC2 compare A position
Y:$7820F,0,24,S	ENC2 compare A position
Y:$7920F,0,24,S	ENC2 compare A position
Y:$7A20F,0,24,S	ENC2 compare A position
X:$7800E,0,24,S	ENC2 compare autoincrement value
X:$7820E,0,24,S	ENC2 compare autoincrement value
X:$7920E,0,24,S	ENC2 compare autoincrement value
X:$7A20E,0,24,S	ENC2 compare autoincrement value
X:$7800F,0,24,S	ENC2 compare B position
X:$7820F,0,24,S	ENC2 compare B position
X:$7920F,0,24,S	ENC2 compare B position
X:$7A20F,0,24,S	ENC2 compare B position
X:$7800D,12	ENC2 compare initial state
X:$7820D,12	ENC2 compare initial state
X:$7920D,12	ENC2 compare initial state
X:$7A20D,12	ENC2 compare initial state
X:$7800D,11	ENC2 compare initial state write enable
X:$7820D,11	ENC2 compare initial state write enable
X:$7920D,11	ENC2 compare initial state write enable
X:$7A20D,11	ENC2 compare initial state write enable
X:$78208,9	ENC2 compare output value
X:$79208,9	ENC2 compare output value
X:$7A208,9	ENC2 compare output value
X:$78008,8	ENC2 count error flag
X:$78208,8	ENC2 count error flag
X:$79208,8	ENC2 count error flag
X:$7A208,8	ENC2 count error flag
X:$78011,0,24,S	ENC3 24-bit counter position
X:$78211,0,24,S	ENC3 24-bit counter position
X:$79211,0,24,S	ENC3 24-bit counter position
X:$7A211,0,24,S	ENC3 24-bit counter position
X:$78010,11	ENC3 capture flag
X:$78210,11	ENC3 capture flag
X:$79210,11	ENC3 capture flag
X:$7A210,11	ENC3 capture flag
X:$78013,0,24,S	ENC3 captured position
X:$78213,0,24,S	ENC3 captured position
X:$79213,0,24,S	ENC3 captured position
X:$7A213,0,24,S	ENC3 captured position
Y:$78017,0,24,S	ENC3 compare A position
Y:$78217,0,24,S	ENC3 compare A position
Y:$79217,0,24,S	ENC3 compare A position
Y:$7A217,0,24,S	ENC3 compare A position
X:$78016,0,24,S	ENC3 compare autoincrement value
X:$78216,0,24,S	ENC3 compare autoincrement value
X:$79216,0,24,S	ENC3 compare autoincrement value
X:$7A216,0,24,S	ENC3 compare autoincrement value
X:$78017,0,24,S	ENC3 compare B position
X:$78217,0,24,S	ENC3 compare B position
X:$79217,0,24,S	ENC3 compare B position
X:$7A217,0,24,S	ENC3 compare B position
X:$78015,12	ENC3 compare initial state
X:$78215,12	ENC3 compare initial state
X:$79215,12	ENC3 compare initial state
X:$7A215,12	ENC3 compare initial state
X:$78015,11	ENC3 compare initial state write enable
X:$78215,11	ENC3 compare initial state write enable
X:$79215,11	ENC3 compare initial state write enable
X:$7A215,11	ENC3 compare initial state write enable
X:$78210,9	ENC3 compare output value
X:$79210,9	ENC3 compare output value
X:$7A210,9	ENC3 compare output value
X:$78010,8	ENC3 count error flag
X:$78210,8	ENC3 count error flag
X:$79210,8	ENC3 count error flag
X:$7A210,8	ENC3 count error flag
X:$78019,0,24,S	ENC4 24-bit counter position
X:$78219,0,24,S	ENC4 24-bit counter position
X:$79219,0,24,S	ENC4 24-bit counter position
X:$7A219,0,24,S	ENC4 24-bit counter position
X:$78018,11	ENC4 capture flag
X:$78218,11	ENC4 capture flag
X:$79218,11	ENC4 capture flag
X:$7A218,11	ENC4 capture flag
X:$7801B,0,24,S	ENC4 captured position
X:$7821B,0,24,S	ENC4 captured position
X:$7921B,0,24,S	ENC4 captured position
X:$7A21B,0,24,S	ENC4 captured position
Y:$7801F,0,24,S	ENC4 compare A position
Y:$7821F,0,24,S	ENC4 compare A position
Y:$7921F,0,24,S	ENC4 compare A position
Y:$7A21F,0,24,S	ENC4 compare A position
X:$7801E,0,24,S	ENC4 compare autoincrement value
X:$7821E,0,24,S	ENC4 compare autoincrement value
X:$7921E,0,24,S	ENC4 compare autoincrement value
X:$7A21E,0,24,S	ENC4 compare autoincrement value
X:$7801F,0,24,S	ENC4 compare B position
X:$7821F,0,24,S	ENC4 compare B position
X:$7921F,0,24,S	ENC4 compare B position
X:$7A21F,0,24,S	ENC4 compare B position
X:$7801D,12	ENC4 compare initial state
X:$7821D,12	ENC4 compare initial state
X:$7921D,12	ENC4 compare initial state
X:$7A21D,12	ENC4 compare initial state
X:$7801D,11	ENC4 compare initial state write enable
X:$7821D,11	ENC4 compare initial state write enable
X:$7921D,11	ENC4 compare initial state write enable
X:$7A21D,11	ENC4 compare initial state write enable
X:$78218,9	ENC4 compare output value
X:$79218,9	ENC4 compare output value
X:$7A218,9	ENC4 compare output value
X:$78018,8	ENC4 count error flag
X:$78218,8	ENC4 count error flag
X:$79218,8	ENC4 count error flag
X:$7A218,8	ENC4 count error flag
X:$78101,0,24,S	ENC5 24-bit counter position
X:$78301,0,24,S	ENC5 24-bit counter position
X:$79301,0,24,S	ENC5 24-bit counter position
X:$7A301,0,24,S	ENC5 24-bit counter position
X:$78100,11	ENC5 capture flag
X:$78300,11	ENC5 capture flag
X:$79300,11	ENC5 capture flag
X:$7A300,11	ENC5 capture flag
X:$78103,0,24,S	ENC5 captured position
X:$78303,0,24,S	ENC5 captured position
X:$79303,0,24,S	ENC5 captured position
X:$7A303,0,24,S	ENC5 captured position
Y:$78107,0,24,S	ENC5 compare A position
Y:$78307,0,24,S	ENC5 compare A position
Y:$79307,0,24,S	ENC5 compare A position
Y:$7A307,0,24,S	ENC5 compare A position
X:$78106,0,24,S	ENC5 compare autoincrement value
X:$78306,0,24,S	ENC5 compare autoincrement value
X:$79306,0,24,S	ENC5 compare autoincrement value
X:$7A306,0,24,S	ENC5 compare autoincrement value
X:$78107,0,24,S	ENC5 compare B position
X:$78307,0,24,S	ENC5 compare B position
X:$79307,0,24,S	ENC5 compare B position
X:$7A307,0,24,S	ENC5 compare B position
X:$78105,12	ENC5 compare initial state
X:$78305,12	ENC5 compare initial state
X:$79305,12	ENC5 compare initial state
X:$7A305,12	ENC5 compare initial state
X:$78105,11	ENC5 compare initial state write enable
X:$78305,11	ENC5 compare initial state write enable
X:$79305,11	ENC5 compare initial state write enable
X:$7A305,11	ENC5 compare initial state write enable
X:$78300,9	ENC5 compare output value
X:$79300,9	ENC5 compare output value
X:$7A300,9	ENC5 compare output value
X:$78100,8	ENC5 count error flag
X:$78300,8	ENC5 count error flag
X:$79300,8	ENC5 count error flag
X:$7A300,8	ENC5 count error flag
X:$78109,0,24,S	ENC6 24-bit counter position
X:$78309,0,24,S	ENC6 24-bit counter position
X:$79309,0,24,S	ENC6 24-bit counter position
X:$7A309,0,24,S	ENC6 24-bit counter position
X:$78108,11	ENC6 capture flag
X:$78308,11	ENC6 capture flag
X:$79308,11	ENC6 capture flag
X:$7A308,11	ENC6 capture flag
X:$7810B,0,24,S	ENC6 captured position
X:$7830B,0,24,S	ENC6 captured position
X:$7930B,0,24,S	ENC6 captured position
X:$7A30B,0,24,S	ENC6 captured position
Y:$7810F,0,24,S	ENC6 compare A position
Y:$7830F,0,24,S	ENC6 compare A position
Y:$7930F,0,24,S	ENC6 compare A position
Y:$7A30F,0,24,S	ENC6 compare A position
X:$7810E,0,24,S	ENC6 compare autoincrement value
X:$7830E,0,24,S	ENC6 compare autoincrement value
X:$7930E,0,24,S	ENC6 compare autoincrement value
X:$7A30E,0,24,S	ENC6 compare autoincrement value
X:$7810F,0,24,S	ENC6 compare B position
X:$7830F,0,24,S	ENC6 compare B position
X:$7930F,0,24,S	ENC6 compare B position
X:$7A30F,0,24,S	ENC6 compare B position
X:$7810D,12	ENC6 compare initial state
X:$7830D,12	ENC6 compare initial state
X:$7930D,12	ENC6 compare initial state
X:$7A30D,12	ENC6 compare initial state
X:$7810D,11	ENC6 compare initial state write enable
X:$7830D,11	ENC6 compare initial state write enable
X:$7930D,11	ENC6 compare initial state write enable
X:$7A30D,11	ENC6 compare initial state write enable
X:$78308,9	ENC6 compare output value
X:$79308,9	ENC6 compare output value
X:$7A308,9	ENC6 compare output value
X:$78108,8	ENC6 count error flag
X:$78308,8	ENC6 count error flag
X:$79308,8	ENC6 count error flag
X:$7A308,8	ENC6 count error flag
X:$78111,0,24,S	ENC7 24-bit counter position
X:$78311,0,24,S	ENC7 24-bit counter position
X:$79311,0,24,S	ENC7 24-bit counter position
X:$7A311,0,24,S	ENC7 24-bit counter position
X:$78110,11	ENC7 capture flag
X:$78310,11	ENC7 capture flag
X:$79310,11	ENC7 capture flag
X:$7A310,11	ENC7 capture flag
X:$78113,0,24,S	ENC7 captured position
X:$78313,0,24,S	ENC7 captured position
X:$79313,0,24,S	ENC7 captured position
X:$7A313,0,24,S	ENC7 captured position
Y:$78117,0,24,S	ENC7 compare A position
Y:$78317,0,24,S	ENC7 compare A position
Y:$79317,0,24,S	ENC7 compare A position
Y:$7A317,0,24,S	ENC7 compare A position
X:$78116,0,24,S	ENC7 compare autoincrement value
X:$78316,0,24,S	ENC7 compare autoincrement value
X:$79316,0,24,S	ENC7 compare autoincrement value
X:$7A316,0,24,S	ENC7 compare autoincrement value
X:$78117,0,24,S	ENC7 compare B position
X:$78317,0,24,S	ENC7 compare B position
X:$79317,0,24,S	ENC7 compare B position
X:$7A317,0,24,S	ENC7 compare B position
X:$78115,12	ENC7 compare initial state
X:$78315,12	ENC7 compare initial state
X:$79315,12	ENC7 compare initial state
X:$7A315,12	ENC7 compare initial state
X:$78115,11	ENC7 compare initial state write enable
X:$78315,11	ENC7 compare initial state write enable
X:$79315,11	ENC7 compare initial state write enable
X:$7A315,11	ENC7 compare initial state write enable
X:$78310,9	ENC7 compare output value
X:$79310,9	ENC7 compare output value
X:$7A310,9	ENC7 compare output value
X:$78110,8	ENC7 count error flag
X:$78310,8	ENC7 count error flag
X:$79310,8	ENC7 count error flag
X:$7A310,8	ENC7 count error flag
X:$78119,0,24,S	ENC8 24-bit counter position
X:$78319,0,24,S	ENC8 24-bit counter position
X:$79319,0,24,S	ENC8 24-bit counter position
X:$7A319,0,24,S	ENC8 24-bit counter position
X:$78118,11	ENC8 capture flag
X:$78318,11	ENC8 capture flag
X:$79318,11	ENC8 capture flag
X:$7A318,11	ENC8 capture flag
X:$7811B,0,24,S	ENC8 captured position
X:$7831B,0,24,S	ENC8 captured position
X:$7931B,0,24,S	ENC8 captured position
X:$7A31B,0,24,S	ENC8 captured position
Y:$7811F,0,24,S	ENC8 compare A position
Y:$7831F,0,24,S	ENC8 compare A position
Y:$7931F,0,24,S	ENC8 compare A position
Y:$7A31F,0,24,S	ENC8 compare A position
X:$7811E,0,24,S	ENC8 compare autoincrement value
X:$7831E,0,24,S	ENC8 compare autoincrement value
X:$7931E,0,24,S	ENC8 compare autoincrement value
X:$7A31E,0,24,S	ENC8 compare autoincrement value
X:$7811F,0,24,S	ENC8 compare B position
X:$7831F,0,24,S	ENC8 compare B position
X:$7931F,0,24,S	ENC8 compare B position
X:$7A31F,0,24,S	ENC8 compare B position
X:$7811D,12	ENC8 compare initial state
X:$7831D,12	ENC8 compare initial state
X:$7931D,12	ENC8 compare initial state
X:$7A31D,12	ENC8 compare initial state
X:$7811D,11	ENC8 compare initial state write enable
X:$7831D,11	ENC8 compare initial state write enable
X:$7931D,11	ENC8 compare initial state write enable
X:$7A31D,11	ENC8 compare initial state write enable
X:$78318,9	ENC8 compare output value
X:$79318,9	ENC8 compare output value
X:$7A318,9	ENC8 compare output value
X:$78118,8	ENC8 count error flag
X:$78318,8	ENC8 count error flag
X:$79318,8	ENC8 count error flag
X:$7A318,8	ENC8 count error flag
X:$78000,15	FAULT1 flag input status
X:$78200,15	FAULT1 flag input status
X:$79200,15	FAULT1 flag input status
X:$7A200,15	FAULT1 flag input status
X:$78008,15	FAULT2 flag input status
X:$78208,15	FAULT2 flag input status
X:$79208,15	FAULT2 flag input status
X:$7A208,15	FAULT2 flag input status
X:$78010,15	FAULT3 flag input status
X:$78210,15	FAULT3 flag input status
X:$79210,15	FAULT3 flag input status
X:$7A210,15	FAULT3 flag input status
X:$78018,15	FAULT4 flag input status
X:$78218,15	FAULT4 flag input status
X:$79218,15	FAULT4 flag input status
X:$7A218,15	FAULT4 flag input status
X:$78100,15	FAULT5 flag input status
X:$78300,15	FAULT5 flag input status
X:$79300,15	FAULT5 flag input status
X:$7A300,15	FAULT5 flag input status
X:$78108,15	FAULT6 flag input status
X:$78308,15	FAULT6 flag input status
X:$79308,15	FAULT6 flag input status
X:$7A308,15	FAULT6 flag input status
X:$78110,15	FAULT7 flag input status
X:$78310,15	FAULT7 flag input status
X:$79310,15	FAULT7 flag input status
X:$7A310,15	FAULT7 flag input status
X:$78118,15	FAULT8 flag input status
X:$78318,15	FAULT8 flag input status
X:$79318,15	FAULT8 flag input status
X:$7A318,15	FAULT8 flag input status
X:$6,12,1	Firmware checksum error bit
Y:$1080,0,8	First character of display buffer
Y:$70801,5,1	GB motion stop
X:$78000,16	HMFL1 flag input status
X:$78200,16	HMFL1 flag input status
X:$79200,16	HMFL1 flag input status
X:$7A200,16	HMFL1 flag input status
X:$78008,16	HMFL2 flag input status
X:$78208,16	HMFL2 flag input status
X:$79208,16	HMFL2 flag input status
X:$7A208,16	HMFL2 flag input status
X:$78010,16	HMFL3 flag input status
X:$78210,16	HMFL3 flag input status
X:$79210,16	HMFL3 flag input status
X:$7A210,16	HMFL3 flag input status
X:$78018,14	HMFL4 flag input status
X:$78218,14	HMFL4 flag input status
X:$79218,14	HMFL4 flag input status
X:$7A218,14	HMFL4 flag input status
X:$78100,16	HMFL5 flag input status
X:$78300,16	HMFL5 flag input status
X:$79300,16	HMFL5 flag input status
X:$7A300,16	HMFL5 flag input status
X:$78108,16	HMFL6 flag input status
X:$78308,16	HMFL6 flag input status
X:$79308,16	HMFL6 flag input status
X:$7A308,16	HMFL6 flag input status
X:$78110,16	HMFL7 flag input status
X:$78310,16	HMFL7 flag input status
X:$79310,16	HMFL7 flag input status
X:$7A310,16	HMFL7 flag input status
X:$78118,16	HMFL8 flag input status
X:$78318,16	HMFL8 flag input status
X:$79318,16	HMFL8 flag input status
X:$7A318,16	HMFL8 flag input status
Y:$78800,0,1	Input 1 Data Line, J6 Pin 1
Y:$78801,1,1	Input 10 Data Line, J6 Pin 24
Y:$78801,2,1	Input 11 Data Line, J6 Pin 6
Y:$78801,3,1	Input 12 Data Line, J6 Pin 25
Y:$78801,4,1	Input 13 Data Line, J6 Pin 7
Y:$78801,5,1	Input 14 Data Line, J6 Pin 26
Y:$78801,6,1	Input 15 Data Line, J6 Pin 8
Y:$78801,7,1	Input 16 Data Line, J6 Pin 27
Y:$78800,1,1	Input 2 Data Line, J6 Pin 20
Y:$78800,2,1	Input 3 Data Line, J6 Pin 2
Y:$78800,3,1	Input 4 Data Line, J6 Pin 21
Y:$78800,4,1	Input 5 Data Line, J6 Pin 3
Y:$78800,5,1	Input 6 Data Line, J6 Pin 22
Y:$78800,6,1	Input 7 Data Line, J6 Pin 4
Y:$78800,7,1	Input 8 Data Line, J6 Pin 23
Y:$78801,0,1	Input 9 Data Line, J6 Pin 5
Y:$3430,0,24	Latest check-cycle MACRO ring error count
X:$3501,0,24,S	Line 0 result from conversion table
X:$3502,0,24,S	Line 1 result from conversion table
X:$350B,0,24,S	Line 10 result from conversion table
X:$350C,0,24,S	Line 11 result from conversion table
X:$350D,0,24,S	Line 12 result from conversion table
X:$350E,0,24,S	Line 13 result from conversion table
X:$350F,0,24,S	Line 14 result from conversion table
X:$3510,0,24,S	Line 15 result from conversion table
X:$3511,0,24,S	Line 16 result from conversion table
X:$3512,0,24,S	Line 17 result from conversion table
X:$3513,0,24,S	Line 18 result from conversion table
X:$3514,0,24,S	Line 19 result from conversion table
X:$3503,0,24,S	Line 2 result from conversion table
X:$3515,0,24,S	Line 20 result from conversion table
X:$3516,0,24,S	Line 21 result from conversion table
X:$3517,0,24,S	Line 22 result from conversion table
X:$3518,0,24,S	Line 23 result from conversion table
X:$3519,0,24,S	Line 24 result from conversion table
X:$351A,0,24,S	Line 25 result from conversion table
X:$351B,0,24,S	Line 26 result from conversion table
X:$351C,0,24,S	Line 27 result from conversion table
X:$351D,0,24,S	Line 28 result from conversion table
X:$351E,0,24,S	Line 29 result from conversion table
X:$3504,0,24,S	Line 3 result from conversion table
X:$351F,0,24,S	Line 30 result from conversion table
X:$3520,0,24,S	Line 31 result from conversion table
X:$3521,0,24,S	Line 32 result from conversion table
X:$3522,0,24,S	Line 33 result from conversion table
X:$3523,0,24,S	Line 34 result from conversion table
X:$3524,0,24,S	Line 35 result from conversion table
X:$3525,0,24,S	Line 36 result from conversion table
X:$3526,0,24,S	Line 37 result from conversion table
X:$3527,0,24,S	Line 38 result from conversion table
X:$3528,0,24,S	Line 39 result from conversion table
X:$3505,0,24,S	Line 4 result from conversion table
X:$3529,0,24,S	Line 40 result from conversion table
X:$352A,0,24,S	Line 41 result from conversion table
X:$352B,0,24,S	Line 42 result from conversion table
X:$352C,0,24,S	Line 43 result from conversion table
X:$352D,0,24,S	Line 44 result from conversion table
X:$352E,0,24,S	Line 45 result from conversion table
X:$352F,0,24,S	Line 46 result from conversion table
X:$3530,0,24,S	Line 47 result from conversion table
X:$3531,0,24,S	Line 48 result from conversion table
X:$3532,0,24,S	Line 49 result from conversion table
X:$3506,0,24,S	Line 5 result from conversion table
X:$3533,0,24,S	Line 50 result from conversion table
X:$3534,0,24,S	Line 51 result from conversion table
X:$3535,0,24,S	Line 52 result from conversion table
X:$3536,0,24,S	Line 53 result from conversion table
X:$3537,0,24,S	Line 54 result from conversion table
X:$3538,0,24,S	Line 55 result from conversion table
X:$3539,0,24,S	Line 56 result from conversion table
X:$353A,0,24,S	Line 57 result from conversion table
X:$353B,0,24,S	Line 58 result from conversion table
X:$353C,0,24,S	Line 59 result from conversion table
X:$3507,0,24,S	Line 6 result from conversion table
X:$353D,0,24,S	Line 60 result from conversion table
X:$353E,0,24,S	Line 61 result from conversion table
X:$353F,0,24,S	Line 62 result from conversion table
X:$3540,0,24,S	Line 63 result from conversion table
X:$3508,0,24,S	Line 7 result from conversion table
X:$3509,0,24,S	Line 8 result from conversion table
X:$350A,0,24,S	Line 9 result from conversion table
X:$6,5,1	MACRO auxiliary communications error bit
Y:$3440,14,1	MACRO IC 0 Node 0 amplifier enable flag
Y:$3440,0,24	MACRO IC 0 Node 0 flag command register
X:$3440,0,24	MACRO IC 0 Node 0 flag status register
X:$3440,16,1	MACRO IC 0 Node 0 home flag
X:$3440,18,1	MACRO IC 0 Node 0 negative limit flag
X:$3440,15,1	MACRO IC 0 Node 0 node/amplifier fault flag
X:$3440,17,1	MACRO IC 0 Node 0 positive limit flag
X:$3440,20,4	MACRO IC 0 Node 0 TUVW flags
X:$3440,19,1	MACRO IC 0 Node 0 user flag
